UserID,ItemID,Rating,Context
0,0,0.0,0
1,1,0.85,1
2,2,0.78,2
3,3,0.0,3
4,4,2.63,4
5,5,0.78,5
6,6,0.0,6
7,7,1.57,7
4,8,0.48,8
8,9,1.41,9
9,10,0.0,10
10,11,1.2,11
11,12,0.9,12
12,13,1.15,13
13,11,0.0,14
14,11,2.13,15
15,14,0.0,16
16,15,2.8,17
17,10,1.48,18
18,16,0.0,19
19,17,0.3,20
20,18,2.41,21
21,19,0.0,22
22,20,1.04,23
23,5,1.11,24
24,21,1.43,25
25,21,2.25,26
26,22,1.49,27
27,23,0.0,28
12,24,1.2,29
28,17,1.04,30
29,25,2.3,31
30,26,1.26,32
31,5,0.6,33
32,27,0.95,34
33,11,1.0,35
16,28,1.18,36
34,29,0.85,37
35,30,0.95,38
36,31,0.6,39
37,32,1.53,40
38,33,1.2,41
39,26,1.36,42
40,34,0.0,43
41,35,0.0,44
42,5,1.11,45
43,25,2.91,46
44,5,1.99,47
45,36,2.37,48
46,37,1.0,49
47,25,3.24,50
48,38,2.15,51
47,21,2.02,52
49,39,0.85,53
50,16,1.08,54
51,31,2.03,55
52,40,0.85,56
53,41,0.0,57
54,42,1.83,58
55,21,1.76,59
39,26,1.68,60
48,38,0.0,61
4,4,2.42,62
56,43,2.51,63
57,44,1.15,64
58,25,0.3,65
2,45,0.78,66
59,3,0.6,67
60,25,1.2,68
61,46,0.0,69
62,47,1.08,70
63,5,1.95,71
64,16,0.7,72
65,48,1.3,73
66,21,0.3,74
32,49,0.6,75
67,5,2.11,76
68,35,0.6,77
69,50,1.43,78
70,21,1.91,79
13,20,1.64,80
2,5,1.18,81
71,45,0.0,82
72,51,1.04,83
73,5,0.95,84
74,52,0.3,85
75,53,0.0,86
76,5,1.15,87
22,54,0.95,88
77,55,0.85,89
34,16,0.6,90
78,56,2.33,91
64,57,1.38,92
65,21,1.48,93
79,58,1.26,94
80,59,1.28,95
81,28,0.0,96
39,60,1.28,97
82,61,0.95,98
1,5,0.6,99
83,44,0.0,100
84,62,0.7,101
9,0,0.0,102
85,63,2.02,103
86,16,0.85,104
87,64,2.39,105
15,65,1.65,106
88,66,0.0,107
89,17,0.0,108
32,21,1.11,109
90,67,1.18,110
33,68,0.0,111
91,3,1.18,112
90,67,1.38,113
53,69,0.0,114
92,56,1.0,115
93,21,0.3,116
94,70,0.0,117
68,11,1.41,118
95,71,3.17,119
78,5,0.9,120
90,16,1.72,121
96,72,0.0,122
91,73,1.0,123
33,74,0.0,124
97,16,1.04,125
38,33,0.0,126
91,21,0.6,127
7,75,1.04,128
52,16,1.32,129
98,69,0.0,130
99,76,0.78,131
100,77,0.0,132
4,5,0.0,133
101,21,0.0,134
102,25,0.6,135
37,78,1.08,136
103,5,0.6,137
104,11,0.0,138
105,21,0.3,139
45,79,0.0,140
106,80,1.57,141
107,17,0.48,142
106,81,1.79,143
108,82,0.3,144
54,42,2.43,145
109,20,1.3,146
110,83,1.08,147
10,11,0.0,148
111,26,1.34,149
37,84,0.6,150
90,67,1.6,151
112,85,0.78,2
113,5,1.66,152
114,40,2.32,153
115,21,0.7,154
116,86,1.74,155
106,87,2.76,156
117,88,2.28,157
118,89,1.0,158
119,15,0.6,159
120,25,1.96,160
121,90,0.0,161
51,5,1.54,162
122,40,0.48,163
17,10,1.64,164
33,11,1.11,165
123,91,1.81,166
55,92,1.15,167
124,33,0.6,168
5,11,1.76,169
125,93,0.6,170
126,94,2.07,171
47,21,1.52,172
64,40,1.08,173
117,95,0.0,174
22,40,1.68,175
31,17,0.0,176
127,96,1.0,177
120,97,2.18,178
128,5,2.61,179
86,16,1.34,180
129,25,1.11,181
130,98,0.0,182
131,59,2.99,183
132,25,0.0,181
133,28,1.28,184
134,99,0.3,185
135,100,0.0,168
90,21,0.7,186
92,21,1.63,187
2,101,0.78,188
68,102,1.08,189
136,103,1.08,190
68,35,0.48,191
137,104,0.0,192
138,105,1.08,193
139,106,1.15,194
140,44,1.41,195
141,71,0.0,196
142,5,2.63,197
143,107,1.72,198
144,3,2.67,199
145,108,1.26,200
64,9,1.78,201
32,59,0.48,202
146,109,0.0,203
1,110,0.48,204
71,111,1.69,205
147,112,0.6,206
71,16,1.41,207
148,113,0.3,208
149,114,0.9,209
68,11,1.11,210
106,87,1.38,211
85,17,1.58,212
49,39,0.78,213
150,26,2.44,214
4,115,1.2,215
42,5,0.48,216
7,116,0.0,217
57,117,2.15,218
151,118,0.9,219
42,119,0.0,220
132,120,0.0,221
152,121,2.26,222
56,49,0.48,223
153,122,2.7,224
86,114,1.68,225
154,40,2.06,226
155,123,1.72,227
12,124,1.61,228
54,42,1.11,229
156,125,0.0,230
157,33,0.6,231
110,9,1.43,232
158,126,0.6,233
159,127,3.72,234
89,45,0.3,235
14,128,3.2,236
160,129,0.48,237
123,130,0.3,238
151,131,2.85,239
64,5,0.85,240
161,132,0.0,241
106,21,0.6,242
54,133,0.0,243
162,134,0.0,55
163,5,2.67,244
89,3,1.08,245
164,3,1.79,246
165,135,0.0,50
166,136,1.75,247
71,16,0.0,248
45,137,0.0,249
167,138,0.0,250
78,5,3.08,251
38,33,1.04,69
168,26,0.6,252
10,21,0.6,253
169,139,0.78,254
97,140,2.16,255
170,21,2.3,256
70,25,1.15,257
80,25,0.9,258
15,141,0.0,259
157,142,0.3,260
92,16,0.3,261
10,5,1.0,262
143,143,0.6,263
171,144,2.16,264
71,145,1.98,265
172,35,1.78,266
87,146,2.48,267
48,5,3.39,268
173,26,0.0,269
174,35,0.3,270
64,5,0.48,181
157,33,1.59,271
175,147,0.0,272
40,21,0.3,273
176,21,0.6,195
74,148,0.0,274
91,102,0.7,275
177,149,1.95,276
22,150,1.65,277
178,25,0.78,278
33,39,0.0,279
133,115,0.85,280
179,11,1.68,281
177,151,0.3,282
180,9,3.75,241
181,0,1.41,283
182,152,1.62,221
183,153,0.95,284
184,154,0.78,285
185,16,1.08,286
186,16,0.6,287
187,155,1.08,288
130,5,2.68,220
87,25,1.53,289
51,25,0.0,290
188,42,0.0,291
117,156,0.0,292
80,9,1.86,293
189,157,0.0,294
173,25,0.3,295
46,3,0.0,296
190,20,0.85,297
191,16,0.48,298
143,39,0.3,299
192,158,0.78,187
193,159,0.0,300
194,45,1.23,301
195,160,1.0,302
195,161,0.0,303
108,25,0.85,304
194,9,0.3,305
138,162,1.49,306
196,163,1.11,307
10,39,0.48,308
197,164,0.0,220
151,165,1.73,309
41,166,0.0,310
1,11,1.45,311
78,167,1.82,312
198,65,1.23,313
5,11,0.95,314
168,168,0.0,160
130,102,2.59,315
199,169,1.04,316
200,170,0.48,317
12,171,1.85,318
201,16,0.85,319
155,5,1.48,320
34,11,0.9,321
181,21,0.78,322
187,48,0.0,323
64,16,0.6,324
131,172,2.86,325
136,17,2.48,326
108,173,0.3,327
12,174,0.48,328
86,175,1.34,329
159,102,1.15,330
176,114,1.73,331
113,9,1.2,332
187,176,0.0,333
1,17,0.0,334
131,59,0.3,335
202,177,0.48,336
203,3,0.0,337
189,9,2.05,338
204,178,0.0,339
205,11,1.52,340
206,110,0.0,341
125,78,0.3,342
207,179,0.0,343
208,180,1.49,344
8,21,0.78,345
209,181,0.0,346
210,16,0.48,347
211,182,0.0,337
153,33,1.18,348
212,33,0.0,349
213,183,2.13,350
52,184,0.3,56
170,185,1.73,351
214,9,1.48,352
52,186,2.88,353
215,78,2.48,38
150,26,0.0,354
216,187,0.3,355
195,188,1.18,356
99,65,0.48,357
55,21,0.0,358
217,189,0.85,359
218,33,0.6,360
219,190,0.0,361
218,33,1.0,362
220,25,0.3,363
43,78,1.48,364
221,25,1.18,365
222,21,1.34,366
223,25,1.79,367
189,59,0.0,368
224,44,0.0,369
225,103,0.3,370
226,28,0.3,371
169,191,1.56,372
130,192,0.0,373
85,136,0.0,374
223,44,0.0,375
98,3,0.78,52
227,33,0.48,376
121,193,0.0,161
62,21,0.3,377
80,59,2.03,378
208,17,1.43,379
5,11,2.21,380
228,16,0.3,298
66,150,1.85,381
110,194,0.0,382
229,195,0.3,383
33,196,0.0,384
230,156,0.0,385
231,143,0.0,386
232,20,0.0,387
86,11,0.48,388
233,197,0.0,389
234,21,0.0,142
153,198,2.13,390
8,17,0.48,391
93,199,1.51,392
120,79,0.0,142
22,26,1.43,393
32,17,0.3,394
68,200,0.6,118
120,201,0.0,395
42,21,0.0,396
65,202,0.7,397
209,203,0.0,346
138,16,1.86,398
134,99,1.2,399
186,16,0.95,332
24,16,0.9,400
235,204,0.0,208
85,67,2.95,401
33,138,0.0,402
101,16,0.3,403
236,205,0.3,94
20,18,1.3,404
97,9,1.41,405
186,33,1.18,287
184,16,1.41,406
237,17,0.0,407
232,20,1.04,408
26,5,1.26,409
238,206,2.01,410
44,5,2.01,411
17,207,0.48,412
163,5,2.29,319
135,208,0.0,413
1,1,1.75,414
25,209,0.0,415
33,40,1.08,416
230,5,2.02,417
214,9,1.0,114
71,16,0.95,418
239,16,1.51,419
160,129,1.32,300
240,210,1.23,420
241,209,0.0,421
242,102,2.48,422
130,211,0.0,423
243,25,1.65,424
85,25,1.83,425
98,21,1.41,426
161,212,0.0,427
45,39,0.0,428
222,21,1.96,429
244,213,0.3,272
26,214,0.3,430
87,215,1.86,431
245,216,0.48,160
157,65,1.49,432
246,9,0.3,433
247,217,0.6,434
248,103,0.3,435
249,40,0.0,436
93,187,3.13,437
91,16,0.3,438
71,16,1.04,439
206,110,0.3,440
14,11,1.49,441
73,21,0.85,442
138,74,0.6,443
41,218,0.0,310
75,219,1.78,444
250,5,1.26,445
251,220,0.0,446
120,97,1.3,447
252,5,1.92,448
110,40,0.0,449
253,221,0.0,450
254,222,2.06,451
97,11,2.18,452
6,102,0.0,413
16,223,0.9,453
255,58,0.0,454
187,224,0.0,455
256,21,0.6,456
39,225,1.04,457
34,11,0.78,458
159,5,2.56,459
26,5,0.7,460
2,45,0.3,461
257,25,0.0,462
50,25,1.93,463
138,5,2.88,464
85,113,0.0,465
258,226,0.0,230
3,21,1.26,466
85,195,3.12,467
259,227,0.0,468
260,33,0.48,469
150,228,1.76,470
261,229,0.0,471
142,17,2.71,472
262,230,1.6,375
40,231,1.26,473
263,232,0.0,474
91,25,0.0,475
167,5,1.26,476
77,14,0.3,477
126,233,0.0,478
264,16,0.3,479
265,21,0.3,480
266,234,1.08,39
100,235,0.0,481
232,236,0.3,482
77,55,1.15,483
33,237,0.0,384
267,78,0.0,484
85,238,0.3,485
268,239,0.0,486
269,21,0.6,487
252,16,0.0,258
49,240,0.3,488
270,17,0.78,489
42,21,0.6,490
271,15,1.36,491
70,25,0.0,492
92,56,2.01,493
87,25,1.86,494
184,241,0.0,495
93,242,0.0,496
215,243,1.4,497
108,25,0.0,498
272,16,1.2,499
273,25,2.24,500
134,244,1.0,501
274,245,0.3,502
90,102,0.0,503
244,195,0.0,442
275,26,0.0,504
247,162,1.59,505
8,21,0.6,506
201,9,0.0,507
97,11,1.51,508
255,58,1.15,331
125,166,0.3,509
15,246,0.3,510
78,247,2.37,511
276,248,0.78,512
72,25,0.0,221
231,249,0.0,386
116,250,1.54,513
77,251,0.3,514
277,21,0.0,515
273,252,0.6,516
50,21,1.61,517
278,21,0.0,518
2,5,0.0,519
243,25,1.34,520
256,253,2.28,521
134,244,0.7,522
197,21,0.95,523
174,35,0.0,524
271,15,0.48,525
91,5,1.34,526
62,5,2.41,527
87,17,0.0,528
279,221,0.0,244
37,25,1.8,529
10,16,0.7,257
87,254,2.59,530
280,255,0.6,499
48,38,2.58,531
175,256,2.33,532
86,25,1.98,533
158,155,1.8,534
223,25,0.3,535
281,5,1.2,69
201,21,0.0,332
42,21,1.36,536
282,5,0.9,537
283,257,0.0,538
50,258,1.18,426
55,92,2.21,154
271,16,0.48,160
89,25,1.85,539
195,16,0.9,540
284,3,1.43,541
159,259,0.0,542
285,56,0.78,543
219,260,0.0,544
172,35,0.7,545
32,21,1.74,546
286,261,0.6,208
153,198,2.16,547
14,21,2.81,548
32,21,1.4,549
126,262,1.43,550
114,21,0.95,551
56,155,0.95,552
287,3,1.18,553
230,263,0.0,554
117,264,0.0,555
127,246,1.38,556
154,74,2.29,557
64,40,1.46,558
288,149,0.6,237
188,35,1.15,29
289,21,2.43,559
155,221,1.08,560
42,21,0.0,561
215,265,2.18,562
68,35,1.38,563
222,21,0.9,221
104,21,0.0,564
252,5,2.33,1
18,9,0.0,565
212,266,0.0,349
290,246,1.18,566
123,91,1.34,567
272,59,0.0,568
174,25,0.95,569
206,267,0.0,570
246,21,1.23,571
89,168,1.69,572
138,268,0.78,573
5,25,0.0,574
77,114,0.3,575
291,269,1.3,576
292,16,1.38,454
177,16,1.0,577
66,270,2.05,578
293,271,0.85,579
294,272,0.3,580
91,16,0.0,581
91,273,0.6,582
262,274,0.0,337
1,5,1.15,2
33,275,0.0,384
33,69,0.0,583
188,276,1.15,584
130,5,0.0,585
295,277,0.0,586
296,58,0.85,587
25,16,1.71,588
78,56,1.4,589
273,278,1.15,32
297,25,0.6,590
120,279,0.0,591
71,280,0.0,592
293,271,0.3,593
93,192,1.2,594
298,21,0.0,595
175,281,2.02,300
114,229,0.6,505
254,282,1.94,596
299,21,1.04,597
186,283,0.0,114
300,5,0.78,149
301,17,0.48,598
